name,player_link,position,age,nation,club,league,matches,goals,assists,points(goals+assists),value
Wilfried Gnonto,https://www.transfermarkt.com/wilfried-gnonto/profil/spieler/627626,Right Winger,20,"Italy, Cote d'Ivoire",,,46,9,6,15,€22.00m
Diego López,https://www.transfermarkt.com/diego-lopez/profil/spieler/617081,Right Winger,22,Spain,,,41,9,6,15,€15.00m
Rob Apter,https://www.transfermarkt.com/rob-apter/profil/spieler/837050,Right Winger,21,"Scotland, England",,,49,8,7,15,€700k
Dilane Bakwa,https://www.transfermarkt.com/dilane-bakwa/profil/spieler/540664,Right Winger,21,"France, DR Congo",,,31,6,9,15,€25.00m
Maghnes Akliouche,https://www.transfermarkt.com/maghnes-akliouche/profil/spieler/745200,Right Winger,22,"France, Algeria",,,33,5,10,15,€45.00m
Jonathan Alukwu,https://www.transfermarkt.com/jonathan-alukwu/profil/spieler/986200,Right Winger,21,Nigeria,,,24,13,1,14,-
Miguel Rodríguez,https://www.transfermarkt.com/miguel-rodriguez/profil/spieler/634427,Right Winger,21,Spain,,,27,10,4,14,€4.50m
Ayoub Oufkir,https://www.transfermarkt.com/ayoub-oufkir/profil/spieler/1078350,Right Winger,18,"Netherlands, Morocco",,,20,10,4,14,€250k
Success Makanjuola,https://www.transfermarkt.com/success-makanjuola/profil/spieler/673359,Right Winger,23,Nigeria,,,26,10,4,14,-
Jiri Tesar,https://www.transfermarkt.com/jiri-tesar/profil/spieler/838478,Right Winger,19,Czech Republic,,,23,9,5,14,€50k
Alessandro Pietrelli,https://www.transfermarkt.com/alessandro-pietrelli/profil/spieler/704122,Right Winger,21,Italy,,,34,8,6,14,€800k
Karim Adeyemi,https://www.transfermarkt.com/karim-adeyemi/profil/spieler/496094,Right Winger,22,"Germany, Nigeria",,,26,7,7,14,€45.00m
Stavros Gavriel,https://www.transfermarkt.com/stavros-gavriel/profil/spieler/613983,Right Winger,22,"Cyprus, Greece",,,27,7,7,14,€800k
Adnane Abid,https://www.transfermarkt.com/adnane-abid/profil/spieler/583899,Right Winger,20,"Belgium, Morocco",,,30,6,8,14,€800k
Giovani Versini,https://www.transfermarkt.com/giovani-versini/profil/spieler/922685,Right Winger,20,France,,,26,5,9,14,€800k
Yéremy Pino,https://www.transfermarkt.com/yeremy-pino/profil/spieler/568157,Right Winger,21,Spain,,,35,4,10,14,€30.00m
Yeray Cabanzón,https://www.transfermarkt.com/yeray-cabanzon/profil/spieler/848514,Right Winger,21,Spain,,,40,4,10,14,€400k
Ilan Hurtevent,https://www.transfermarkt.com/ilan-hurtevent/profil/spieler/1310356,Right Winger,19,Belgium,,,26,3,11,14,-
Jayden Addai,https://www.transfermarkt.com/jayden-addai/profil/spieler/747720,Right Winger,18,"Netherlands, Ghana",,,32,10,3,13,€1.50m
Jan Lacko,https://www.transfermarkt.com/jan-lacko/profil/spieler/765104,Right Winger,18,Czech Republic,,,25,10,3,13,-
Souleymane Faye,https://www.transfermarkt.com/souleymane-faye/profil/spieler/666971,Right Winger,21,Senegal,,,36,9,4,13,€500k
Sorriso,https://www.transfermarkt.com/sorriso/profil/spieler/868101,Right Winger,23,Brazil,,,29,8,5,13,€5.00m
Emirhan Arkutcu,https://www.transfermarkt.com/emirhan-arkutcu/profil/spieler/1047591,Right Winger,18,Türkiye,,,29,8,5,13,€200k
Tyrhys Dolan,https://www.transfermarkt.com/tyrhys-dolan/profil/spieler/647435,Right Winger,22,England,,,47,7,6,13,€7.00m
Mohamed Salah,https://www.transfermarkt.com/mohamed-salah/profil/spieler/1018201,Right Winger,20,"Belgium, Morocco",,,29,7,6,13,€800k
Lucas Copado,https://www.transfermarkt.com/lucas-copado/profil/spieler/636898,Right Winger,20,"Germany, Spain",,,34,7,6,13,€600k
Robin Kalem,https://www.transfermarkt.com/robin-kalem/profil/spieler/500771,Right Winger,21,Germany,,,35,7,6,13,€350k
Moustapha Camara,https://www.transfermarkt.com/moustapha-camara/profil/spieler/929396,Right Winger,21,Senegal,,,35,6,7,13,€800k
Mame Mor Faye,https://www.transfermarkt.com/mame-mor-faye/profil/spieler/1111241,Right Winger,18,Senegal,,,23,6,7,13,€550k
