name,player_link,position,age,nation,club,league,matches,goals,assists,points(goals+assists),value
Jaume Jardí,https://www.transfermarkt.com/jaume-jardi/profil/spieler/568196,Right Winger,22,Spain,,,37,5,8,13,€300k
Johan Bakayoko,https://www.transfermarkt.com/johan-bakayoko/profil/spieler/565424,Right Winger,21,"Belgium, Cote d'Ivoire",,,35,10,2,12,€30.00m
Adam Kronus,https://www.transfermarkt.com/adam-kronus/profil/spieler/623768,Right Winger,21,Czech Republic,,,32,9,3,12,€200k
Layee Kromah,https://www.transfermarkt.com/layee-kromah/profil/spieler/865293,Right Winger,21,"Netherlands, Liberia",,,31,9,3,12,€200k
Anis Hadj Moussa,https://www.transfermarkt.com/anis-hadj-moussa/profil/spieler/917911,Right Winger,22,"Algeria, France",,,32,8,4,12,€14.00m
Daniel Pandula,https://www.transfermarkt.com/daniel-pandula/profil/spieler/817502,Right Winger,20,Czech Republic,,,36,8,4,12,€150k
Yankuba Minteh,https://www.transfermarkt.com/yankuba-minteh/profil/spieler/1012534,Right Winger,19,The Gambia,,,37,7,5,12,€30.00m
Gabriel Silva,https://www.transfermarkt.com/gabriel-silva/profil/spieler/627224,Right Winger,22,Brazil,,,37,7,5,12,€5.00m
Kang-in Lee,https://www.transfermarkt.com/kang-in-lee/profil/spieler/557149,Right Winger,23,"Korea, South",,,34,6,6,12,€25.00m
Jonny Arriba,https://www.transfermarkt.com/jonny-arriba/profil/spieler/585536,Right Winger,22,Spain,,,37,5,7,12,€300k
Aymane Bais,https://www.transfermarkt.com/aymane-bais/profil/spieler/1055887,Right Winger,18,Netherlands,,,33,5,7,12,-
Dylan Mbayo,https://www.transfermarkt.com/dylan-mbayo/profil/spieler/502289,Right Winger,22,"Belgium, DR Congo",,,35,4,8,12,€2.00m
Pau Martínez,https://www.transfermarkt.com/pau-martinez/profil/spieler/366931,Right Winger,23,Spain,,,36,4,8,12,€250k
Martin Vlachovsky,https://www.transfermarkt.com/martin-vlachovsky/profil/spieler/649566,Right Winger,23,Czech Republic,,,34,4,8,12,-
Savinho,https://www.transfermarkt.com/savinho/profil/spieler/743591,Right Winger,20,Brazil,,,36,1,11,12,€50.00m
Cyriaque Irié,https://www.transfermarkt.com/cyriaque-irie/profil/spieler/1145064,Right Winger,19,"Burkina Faso, Cote d'Ivoire",,,38,8,3,11,€8.00m
Fer López,https://www.transfermarkt.com/fer-lopez/profil/spieler/1064471,Right Winger,20,Spain,,,37,8,3,11,€5.00m
Toni Fernández,https://www.transfermarkt.com/toni-fernandez/profil/spieler/1066206,Right Winger,15,Spain,,,24,8,3,11,€3.00m
Noni Madueke,https://www.transfermarkt.com/noni-madueke/profil/spieler/503987,Right Winger,22,"England, Nigeria",,,34,7,4,11,€40.00m
Sontje Hansen,https://www.transfermarkt.com/sontje-hansen/profil/spieler/485582,Right Winger,22,"Netherlands, Curacao",,,33,7,4,11,€4.00m
Million Manhoef,https://www.transfermarkt.com/million-manhoef/profil/spieler/564449,Right Winger,22,"Netherlands, Suriname",,,38,7,4,11,€3.80m
Giorgi Tsitaishvili,https://www.transfermarkt.com/giorgi-tsitaishvili/profil/spieler/419067,Right Winger,23,"Georgia, Ukraine",,,39,7,4,11,€2.00m
David Mella,https://www.transfermarkt.com/david-mella/profil/spieler/741256,Right Winger,19,Spain,,,35,6,5,11,€4.00m
Juan Alvina,https://www.transfermarkt.com/juan-alvina/profil/spieler/1083965,Right Winger,21,Brazil,,,26,6,5,11,€1.50m
Mika Clausen,https://www.transfermarkt.com/mika-clausen/profil/spieler/906540,Right Winger,22,Germany,,,30,6,5,11,€300k
Atalay Yıldırım,https://www.transfermarkt.com/atalay-yildirim/profil/spieler/618897,Right Winger,22,Türkiye,,,35,6,5,11,€150k
Sonny Perkins,https://www.transfermarkt.com/sonny-perkins/profil/spieler/670877,Right Winger,20,"England, Ireland",,,37,5,6,11,€900k
Gustavo Mantuan,https://www.transfermarkt.com/gustavo-mantuan/profil/spieler/814269,Right Winger,23,"Brazil, Italy",,,38,4,7,11,€3.50m
Quincy Butler,https://www.transfermarkt.com/quincy-butler/profil/spieler/533350,Right Winger,22,United States,,,34,4,7,11,€600k
Amar Memic,https://www.transfermarkt.com/amar-memic/profil/spieler/638990,Right Winger,23,Bosnia-Herzegovina,,,32,8,2,10,€1.80m
Oleg Smirnov,https://www.transfermarkt.com/oleg-smirnov/profil/spieler/825458,Right Winger,22,Russia,,,35,8,2,10,€225k
Jacob Trenskow,https://www.transfermarkt.com/jacob-trenskow/profil/spieler/542684,Right Winger,23,Denmark,,,26,7,3,10,€4.00m
Davide Bragantini,https://www.transfermarkt.com/davide-bragantini/profil/spieler/704335,Right Winger,20,Italy,,,37,7,3,10,€1.80m
Ruslan Bart,https://www.transfermarkt.com/ruslan-bart/profil/spieler/918824,Right Winger,18,Russia,,,28,7,3,10,€350k
Abu Kamara,https://www.transfermarkt.com/abu-kamara/profil/spieler/696764,Right Winger,20,"England, Sierra Leone",,,40,6,4,10,€4.00m
Ronaldo,https://www.transfermarkt.com/ronaldo/profil/spieler/866670,Right Winger,23,Brazil,,,36,6,4,10,€4.00m
Marin Soticek,https://www.transfermarkt.com/marin-soticek/profil/spieler/945345,Right Winger,19,Croatia,,,32,6,4,10,€2.50m
Prosper Obah,https://www.transfermarkt.com/prosper-obah/profil/spieler/1041630,Right Winger,20,Nigeria,,,32,6,4,10,€1.10m
Tommaso Marras,https://www.transfermarkt.com/tommaso-marras/profil/spieler/941067,Right Winger,20,Italy,,,33,6,4,10,€225k
Matías Soulé,https://www.transfermarkt.com/matias-soule/profil/spieler/668951,Right Winger,21,"Argentina, Italy",,,28,5,5,10,€30.00m
Jahnoah Markelo,https://www.transfermarkt.com/jahnoah-markelo/profil/spieler/677382,Right Winger,21,"Netherlands, Suriname",,,34,5,5,10,€2.00m
Oumar Sidibé,https://www.transfermarkt.com/oumar-sidibe/profil/spieler/948789,Right Winger,23,"France, Cote d'Ivoire",,,34,5,5,10,€300k
Altin Shala,https://www.transfermarkt.com/altin-shala/profil/spieler/687241,Right Winger,21,"Kosovo, Switzerland",,,34,5,5,10,€200k
Bahattin Karahan,https://www.transfermarkt.com/bahattin-karahan/profil/spieler/653065,Right Winger,22,"Türkiye, Germany",,,28,5,5,10,€125k
Giuliano Simeone,https://www.transfermarkt.com/giuliano-simeone/profil/spieler/742201,Right Winger,21,"Argentina, Italy",,,38,4,6,10,€35.00m
Ansgar Knauff,https://www.transfermarkt.com/ansgar-knauff/profil/spieler/429874,Right Winger,22,"Germany, Ghana",,,33,4,6,10,€15.00m
Josué Casimir,https://www.transfermarkt.com/josue-casimir/profil/spieler/763182,Right Winger,22,"Guadeloupe, France",,,27,4,6,10,€4.00m
Théo Berdayes,https://www.transfermarkt.com/theo-berdayes/profil/spieler/608160,Right Winger,22,Switzerland,,,39,4,6,10,€3.00m
Tyler Goodrham,https://www.transfermarkt.com/tyler-goodrham/profil/spieler/700441,Right Winger,20,"Ireland, England",,,44,4,6,10,€3.00m
Anthony Musaba,https://www.transfermarkt.com/anthony-musaba/profil/spieler/511401,Right Winger,23,"Netherlands, DR Congo",,,32,4,6,10,€1.50m
Brenner,https://www.transfermarkt.com/brenner/profil/spieler/973703,Right Winger,22,Brazil,,,36,4,6,10,€1.30m
Demba Diallo,https://www.transfermarkt.com/demba-diallo/profil/spieler/853000,Right Winger,23,Mali,,,34,4,6,10,€700k
Geovany Quenda,https://www.transfermarkt.com/geovany-quenda/profil/spieler/1138758,Right Winger,17,"Portugal, Guinea-Bissau",,,44,3,7,10,€45.00m
Ben Doak,https://www.transfermarkt.com/ben-doak/profil/spieler/719673,Right Winger,18,Scotland,,,24,3,7,10,€14.00m
Daan Rots,https://www.transfermarkt.com/daan-rots/profil/spieler/591363,Right Winger,22,Netherlands,,,34,3,7,10,€4.00m
Ronald,https://www.transfermarkt.com/ronald/profil/spieler/862554,Right Winger,23,Brazil,,,49,3,7,10,€2.00m
Luismi Cruz,https://www.transfermarkt.com/luismi-cruz/profil/spieler/610461,Right Winger,23,Spain,,,38,2,8,10,€1.00m
Ethan Nwaneri,https://www.transfermarkt.com/ethan-nwaneri/profil/spieler/890719,Right Winger,17,"England, Nigeria",,,30,7,2,9,€55.00m
Jesurun Rak-Sakyi,https://www.transfermarkt.com/jesurun-rak-sakyi/profil/spieler/586834,Right Winger,21,"England, Ghana",,,35,7,2,9,€6.00m
Jovan Zivkovic,https://www.transfermarkt.com/jovan-zivkovic/profil/spieler/888286,Right Winger,18,"Austria, Serbia",,,26,7,2,9,€400k
Ben-Travis Wörndl,https://www.transfermarkt.com/ben-travis-worndl/profil/spieler/600980,Right Winger,21,Austria,,,20,7,2,9,-
Geny Catamo,https://www.transfermarkt.com/geny-catamo/profil/spieler/701979,Right Winger,23,Mozambique,,,40,6,3,9,€15.00m
Camiel Neghli,https://www.transfermarkt.com/camiel-neghli/profil/spieler/587588,Right Winger,22,"Algeria, Netherlands",,,28,6,3,9,€2.00m
Angelo Gattermayer,https://www.transfermarkt.com/angelo-gattermayer/profil/spieler/523870,Right Winger,22,Austria,,,33,6,3,9,€800k
Omar Sijaric,https://www.transfermarkt.com/omar-sijaric/profil/spieler/522263,Right Winger,22,"Montenegro, Germany",,,36,6,3,9,€300k
Radim Hamalcik,https://www.transfermarkt.com/radim-hamalcik/profil/spieler/826095,Right Winger,19,Czech Republic,,,26,6,3,9,-
Mohammed Kudus,https://www.transfermarkt.com/mohammed-kudus/profil/spieler/543499,Right Winger,23,Ghana,,,35,5,4,9,€45.00m
Chemsdine Talbi,https://www.transfermarkt.com/chemsdine-talbi/profil/spieler/743384,Right Winger,19,"Morocco, Belgium",,,27,5,4,9,€8.00m
Pablo García,https://www.transfermarkt.com/pablo-garcia/profil/spieler/961087,Right Winger,18,Spain,,,28,5,4,9,€5.00m
Telmo Arcanjo,https://www.transfermarkt.com/telmo-arcanjo/profil/spieler/791528,Right Winger,23,"Cape Verde, Portugal",,,30,5,4,9,€3.00m
Xavier Amaechi,https://www.transfermarkt.com/xavier-amaechi/profil/spieler/433185,Right Winger,23,"England, Nigeria",,,25,5,4,9,€700k
Aingeru Olabarrieta,https://www.transfermarkt.com/aingeru-olabarrieta/profil/spieler/1056971,Right Winger,18,Spain,,,29,5,4,9,€500k
Marcus Younis,https://www.transfermarkt.com/marcus-younis/profil/spieler/1099720,Right Winger,18,Australia,,,26,5,4,9,€300k
Seydou Fini,https://www.transfermarkt.com/seydou-fini/profil/spieler/866250,Right Winger,18,"Italy, Cote d'Ivoire",,,39,4,5,9,€1.30m
Femi Azeez,https://www.transfermarkt.com/femi-azeez/profil/spieler/703408,Right Winger,23,"England, Spain",,,39,4,5,9,€1.20m
Vladyslav Veleten,https://www.transfermarkt.com/vladyslav-veleten/profil/spieler/729781,Right Winger,21,Ukraine,,,27,4,5,9,€600k
Niccoló Spinelli,https://www.transfermarkt.com/niccolo-spinelli/profil/spieler/805768,Right Winger,20,"Switzerland, Italy",,,30,4,5,9,€150k
Vadim Rakov,https://www.transfermarkt.com/vadim-rakov/profil/spieler/745284,Right Winger,19,Russia,,,29,3,6,9,€1.20m
Roberto Massimo,https://www.transfermarkt.com/roberto-massimo/profil/spieler/431561,Right Winger,23,"Germany, Italy",,,30,3,6,9,€800k
Paul Lipczinski,https://www.transfermarkt.com/paul-lipczinski/profil/spieler/674052,Right Winger,22,Austria,,,27,3,6,9,€200k
Luan Campos,https://www.transfermarkt.com/luan-campos/profil/spieler/819249,Right Winger,22,Brazil,,,29,7,1,8,€500k
Berk Karadağ,https://www.transfermarkt.com/berk-karadag/profil/spieler/695460,Right Winger,23,Türkiye,,,33,7,1,8,€100k
Romain Esse,https://www.transfermarkt.com/romain-esse/profil/spieler/967319,Right Winger,19,"England, Cote d'Ivoire",,,35,6,2,8,€12.00m
Nikolaus Wurmbrand,https://www.transfermarkt.com/nikolaus-wurmbrand/profil/spieler/803052,Right Winger,18,Austria,,,23,6,2,8,€2.00m
Alex Fernandes,https://www.transfermarkt.com/alex-fernandes/profil/spieler/983977,Right Winger,22,Brazil,,,18,6,2,8,€700k
Jakub Kubovsky,https://www.transfermarkt.com/jakub-kubovsky/profil/spieler/809668,Right Winger,22,Czech Republic,,,31,6,2,8,€50k
Álex Guti,https://www.transfermarkt.com/alex-guti/profil/spieler/891107,Right Winger,23,Spain,,,36,6,2,8,-
Jilani Helder,https://www.transfermarkt.com/jilani-helder/profil/spieler/1007831,Right Winger,22,Netherlands,,,35,6,2,8,-
David Larrubia,https://www.transfermarkt.com/david-larrubia/profil/spieler/635939,Right Winger,22,Spain,,,37,5,3,8,€1.00m
Pablo Sáenz,https://www.transfermarkt.com/pablo-saenz/profil/spieler/821820,Right Winger,23,Spain,,,39,5,3,8,€700k
Marc Gutbub,https://www.transfermarkt.com/marc-gutbub/profil/spieler/660514,Right Winger,21,Switzerland,,,34,5,3,8,€500k
Malick Mbaye,https://www.transfermarkt.com/malick-mbaye/profil/spieler/707063,Right Winger,20,Senegal,,,13,5,3,8,€500k
Hugo González,https://www.transfermarkt.com/hugo-gonzalez/profil/spieler/707279,Right Winger,21,Spain,,,33,5,3,8,€300k
Francisco Conceição,https://www.transfermarkt.com/francisco-conceicao/profil/spieler/487474,Right Winger,21,Portugal,,,28,4,4,8,€28.00m
Patrick Wimmer,https://www.transfermarkt.com/patrick-wimmer/profil/spieler/533295,Right Winger,23,Austria,,,33,4,4,8,€15.00m
Mohamed-Ali Cho,https://www.transfermarkt.com/mohamed-ali-cho/profil/spieler/670847,Right Winger,20,"France, England",,,29,4,4,8,€15.00m
Ilya Kvasnytsya,https://www.transfermarkt.com/ilya-kvasnytsya/profil/spieler/936825,Right Winger,21,Ukraine,,,25,4,4,8,€2.50m
Anthony Valencia,https://www.transfermarkt.com/anthony-valencia/profil/spieler/974374,Right Winger,20,Ecuador,,,29,4,4,8,€1.20m
Elies Mahmoud,https://www.transfermarkt.com/elies-mahmoud/profil/spieler/804664,Right Winger,23,"France, Algeria",,,18,4,4,8,€450k
Georgios Kyriopoulos,https://www.transfermarkt.com/georgios-kyriopoulos/profil/spieler/898021,Right Winger,19,Greece,,,21,4,4,8,€350k
Moses Emmanuel,https://www.transfermarkt.com/moses-emmanuel/profil/spieler/1071296,Right Winger,20,Nigeria,,,26,4,4,8,€325k
Jiri Hrubes,https://www.transfermarkt.com/jiri-hrubes/profil/spieler/658872,Right Winger,23,Czech Republic,,,27,4,4,8,€200k
Destiny Egharevba,https://www.transfermarkt.com/destiny-egharevba/profil/spieler/704176,Right Winger,21,"Italy, Nigeria",,,31,4,4,8,€200k
Roger Fernandes,https://www.transfermarkt.com/roger-fernandes/profil/spieler/906329,Right Winger,18,"Portugal, Guinea-Bissau",,,34,3,5,8,€22.00m
Ernest Poku,https://www.transfermarkt.com/ernest-poku/profil/spieler/718303,Right Winger,20,"Netherlands, Ghana",,,30,3,5,8,€4.00m
Lisandru Tramoni,https://www.transfermarkt.com/lisandru-tramoni/profil/spieler/607227,Right Winger,21,"France, Italy",,,29,3,5,8,€700k
Hussayn Touati,https://www.transfermarkt.com/hussayn-touati/profil/spieler/618487,Right Winger,22,"France, Morocco",,,25,3,5,8,€350k
Lucas Calodat,https://www.transfermarkt.com/lucas-calodat/profil/spieler/857653,Right Winger,22,"France, Guadeloupe",,,29,3,5,8,€300k
Jayen Gerold,https://www.transfermarkt.com/jayen-gerold/profil/spieler/727211,Right Winger,20,"Suriname, Netherlands",,,29,3,5,8,€250k
Willy Vogt,https://www.transfermarkt.com/willy-vogt/profil/spieler/500782,Right Winger,22,"Switzerland, Brazil",,,21,2,6,8,€200k
Gabriel Goulart,https://www.transfermarkt.com/gabriel-goulart/profil/spieler/1174687,Right Winger,22,Brazil,,,13,1,7,8,€100k
Amadou Diallo,https://www.transfermarkt.com/amadou-diallo/profil/spieler/990751,Right Winger,19,"Belgium, Guinea",,,17,7,0,7,€200k
Alama Bayo,https://www.transfermarkt.com/alama-bayo/profil/spieler/1123952,Right Winger,18,"Belgium, Guinea",,,13,7,0,7,€200k
Ahmet Ülük,https://www.transfermarkt.com/ahmet-uluk/profil/spieler/913225,Right Winger,22,Türkiye,,,27,7,0,7,€125k
Onur Efe,https://www.transfermarkt.com/onur-efe/profil/spieler/824104,Right Winger,22,Türkiye,,,30,7,0,7,€100k
Marcel Tanzmayr,https://www.transfermarkt.com/marcel-tanzmayr/profil/spieler/524541,Right Winger,22,Austria,,,28,7,0,7,-
Mamadou Diallo,https://www.transfermarkt.com/mamadou-diallo/profil/spieler/1143326,Right Winger,21,Belgium,,,29,7,0,7,-
Korede Osundina,https://www.transfermarkt.com/korede-osundina/profil/spieler/975138,Right Winger,20,"United States, Nigeria",,,30,6,1,7,€450k
Oucasse Mendy,https://www.transfermarkt.com/oucasse-mendy/profil/spieler/859536,Right Winger,23,"France, Senegal",,,32,6,1,7,€400k
Takefusa Kubo,https://www.transfermarkt.com/takefusa-kubo/profil/spieler/405398,Right Winger,23,Japan,,,41,5,2,7,€30.00m
Adu Ares,https://www.transfermarkt.com/adu-ares/profil/spieler/895480,Right Winger,22,"Spain, Guinea-Bissau",,,33,5,2,7,€1.60m
Jorg Schreuders,https://www.transfermarkt.com/jorg-schreuders/profil/spieler/671735,Right Winger,19,Netherlands,,,34,5,2,7,€1.20m
Garrik Levin,https://www.transfermarkt.com/garrik-levin/profil/spieler/555173,Right Winger,21,"Russia, Armenia",,,33,5,2,7,€200k
Vojtech Werani,https://www.transfermarkt.com/vojtech-werani/profil/spieler/740582,Right Winger,19,Czech Republic,,,29,5,2,7,-
João Simões,https://www.transfermarkt.com/joao-simoes/profil/spieler/785074,Right Winger,22,Portugal,,,17,5,2,7,-
Tyler Dibling,https://www.transfermarkt.com/tyler-dibling/profil/spieler/866655,Right Winger,18,England,,,38,4,3,7,€25.00m
Gustav Isaksen,https://www.transfermarkt.com/gustav-isaksen/profil/spieler/462823,Right Winger,23,Denmark,,,39,4,3,7,€20.00m
Griffin Yow,https://www.transfermarkt.com/griffin-yow/profil/spieler/627205,Right Winger,21,United States,,,26,4,3,7,€4.00m
Haissem Hassan,https://www.transfermarkt.com/haissem-hassan/profil/spieler/620164,Right Winger,22,"France, Egypt",,,40,4,3,7,€2.50m
Lukas Petkov,https://www.transfermarkt.com/lukas-petkov/profil/spieler/401639,Right Winger,23,"Bulgaria, Germany",,,31,4,3,7,€1.20m
Elayis Tavsan,https://www.transfermarkt.com/elayis-tavsan/profil/spieler/462086,Right Winger,23,"Netherlands, Türkiye",,,31,4,3,7,€1.20m
Moses David Cobnan,https://www.transfermarkt.com/moses-david-cobnan/profil/spieler/911232,Right Winger,21,Nigeria,,,34,4,3,7,€900k
Jan Faberski,https://www.transfermarkt.com/jan-faberski/profil/spieler/949480,Right Winger,18,Poland,,,34,4,3,7,€700k
Irakliy Manelov,https://www.transfermarkt.com/irakliy-manelov/profil/spieler/667980,Right Winger,21,Russia,,,35,4,3,7,€600k
Mert Durmush,https://www.transfermarkt.com/mert-durmush/profil/spieler/1053566,Right Winger,18,Bulgaria,,,29,4,3,7,€200k
Eduard Bagrintsev,https://www.transfermarkt.com/eduard-bagrintsev/profil/spieler/555154,Right Winger,21,"Armenia, Russia",,,32,4,3,7,-
Justin Njinmah,https://www.transfermarkt.com/justin-njinmah/profil/spieler/596153,Right Winger,23,"Germany, Nigeria",,,30,3,4,7,€7.00m
Jofre Carreras,https://www.transfermarkt.com/jofre-carreras/profil/spieler/628498,Right Winger,23,Spain,,,38,3,4,7,€3.00m
Christoph Lang,https://www.transfermarkt.com/christoph-lang/profil/spieler/527589,Right Winger,22,Austria,,,28,3,4,7,€800k
Aleksey Larin,https://www.transfermarkt.com/aleksey-larin/profil/spieler/580889,Right Winger,21,Russia,,,33,3,4,7,€175k
Gonçalo Borges,https://www.transfermarkt.com/goncalo-borges/profil/spieler/479649,Right Winger,23,Portugal,,,29,2,5,7,€5.00m
Krystof Danek,https://www.transfermarkt.com/krystof-danek/profil/spieler/652047,Right Winger,21,Czech Republic,,,25,2,5,7,€1.20m
Vladislav Galkin,https://www.transfermarkt.com/vladislav-galkin/profil/spieler/503639,Right Winger,22,Russia,,,23,2,5,7,€300k
Giuseppe Guadagni,https://www.transfermarkt.com/giuseppe-guadagni/profil/spieler/537360,Right Winger,22,Italy,,,30,1,6,7,€200k
Miguel Ángel Sierra,https://www.transfermarkt.com/miguel-angel-sierra/profil/spieler/1064105,Right Winger,19,Spain,,,30,1,6,7,€150k
Simon Stehle,https://www.transfermarkt.com/simon-stehle/profil/spieler/557205,Right Winger,22,"Germany, Colombia",,,30,0,7,7,€350k
